id,lingua,categoria,livello,fase,persona,territorio,regione,domanda,keyword,ricerche_anno
OBS-C-2945d4db-IT,it,grandi-citta,comparative,sogno,,Umbria,Umbria,quali sono le città da visitare in Umbria?,città umbria,45200
OBS-C-3567cde2-EN,en,grandi-citta,comparative,sogno,,Italia,,what are the best cities to visit in Italy?,cities in italy,810000
OBS-C-42446e24-IT,it,grandi-citta,comparative,sogno,,Italia,,quali sono le città da visitare in Italia?,città da visitare italia,50800
OBS-C-48a52fa7-IT,it,grandi-citta,comparative,sogno,,Sardegna,Sardegna,quali sono le città da visitare in Sardegna?,città sardegna,29500
OBS-C-4a7c79dc-EN,en,grandi-citta,comparative,sogno,,Liguria,Liguria,what are the best cities to visit in Liguria?,cities in liguria,1900
OBS-C-552e55b2-EN,en,grandi-citta,comparative,sogno,,Piemonte,Piemonte,what are the best cities to visit in Piedmont?,piedmont cities,10710
OBS-C-58be2c47-IT,it,grandi-citta,comparative,sogno,,Piemonte,Piemonte,quali sono le città da visitare in Piemonte?,città piemonte,12240
OBS-C-5a5ead78-EN,en,grandi-citta,comparative,sogno,,Italia,,which city to visit for a weekend in Italy?,city break italy,45800
OBS-C-6511a86c-EN,en,grandi-citta,comparative,sogno,,Sardegna,Sardegna,which city to visit for a weekend in Sardinia?,city break sardinia,1440
OBS-C-673cbc25-IT,it,grandi-citta,comparative,sogno,,Toscana,Toscana,quali sono le città da visitare in Toscana?,città toscana,66200
OBS-C-67bdb708-EN,en,grandi-citta,comparative,sogno,,Lazio,Lazio,what are the best cities to visit in Lazio?,cities in lazio,11380
OBS-C-74cdffc3-IT,it,grandi-citta,comparative,sogno,,Lombardia,Lombardia,quali sono le città da visitare in Lombardia?,città lombardia,47200
OBS-C-79648522-EN,en,grandi-citta,comparative,sogno,,Sardegna,Sardegna,what are the best cities to visit in Sardinia?,cities in sardinia,38100
OBS-C-7e5c9ed3-IT,it,grandi-citta,comparative,sogno,,Puglia,Puglia,quali sono le città da visitare in Puglia?,città puglia,64400
OBS-C-91583f30-IT,it,grandi-citta,comparative,sogno,,Sicilia,Sicilia,quali sono le città da visitare in Sicilia?,città sicilia,68300
OBS-C-9c697dc6-EN,en,grandi-citta,comparative,sogno,,Puglia,Puglia,what are the best cities to visit in Puglia?,cities in puglia,37400
OBS-C-a6c1b78d-EN,en,grandi-citta,comparative,sogno,,Basilicata,Basilicata,what are the best cities to visit in Basilicata?,cities in basilicata,1330
OBS-C-b38d2f07-EN,en,grandi-citta,comparative,sogno,,Sicilia,Sicilia,what are the best cities to visit in Sicily?,cities in sicily,178900
OBS-C-b560cfc9-EN,en,grandi-citta,comparative,sogno,,Emilia-Romagna,Emilia-Romagna,what are the best cities to visit in Emilia-Romagna?,cities in emilia-romagna,5120
OBS-C-b5911ef5-IT,it,grandi-citta,comparative,sogno,,Lazio,Lazio,quali sono le città da visitare nel Lazio?,città lazio,25200
OBS-C-cacaaf0c-EN,en,grandi-citta,comparative,organizzazione,,Italia,,what is the best itinerary between the cities in Italy?,city tour italy,1810
OBS-C-ccd10f80-IT,it,grandi-citta,comparative,sogno,,Campania,Campania,quali sono le città da visitare in Campania?,città campania,24200
OBS-C-cdbbbce0-IT,it,grandi-citta,comparative,sogno,,Emilia-Romagna,Emilia-Romagna,quali sono le città da visitare in Emilia-Romagna?,città emilia romagna,29800
OBS-C-d31af19e-EN,en,grandi-citta,comparative,sogno,,Veneto,Veneto,what are the best cities to visit in Veneto?,cities in veneto,7260
OBS-C-df1aa666-IT,it,grandi-citta,comparative,sogno,,Friuli-Venezia Giulia,Friuli-Venezia Giulia,quali sono le città da visitare in Friuli-Venezia Giulia?,città friuli venezia giulia,18300
OBS-C-e0c3582c-IT,it,grandi-citta,comparative,sogno,,Liguria,Liguria,quali sono le città da visitare in Liguria?,città liguria,33900
OBS-C-f03940b3-EN,en,grandi-citta,comparative,sogno,,Toscana,Toscana,what are the best cities to visit in Tuscany?,cities in tuscany,72500
OBS-C-f7c99a08-IT,it,grandi-citta,comparative,sogno,,Basilicata,Basilicata,quali sono le città da visitare in Basilicata?,città basilicata,29300
OBS-I-00596944-EN,en,grandi-citta,internal,hotel,,Belluno,Veneto,what are the best hotels in Belluno?,hotels in belluno,3420
OBS-I-006bc7b7-IT,it,grandi-citta,internal,organizzazione,,Cuneo,Piemonte,cosa vedere a Cuneo?,cosa vedere a cuneo,11620
OBS-I-00a23d10-IT,it,grandi-citta,internal,hotel,,Rovigo,Veneto,quali sono i migliori hotel a Rovigo?,hotel rovigo,15200
OBS-I-011cf054-IT,it,grandi-citta,internal,hotel,lusso,Salerno,Campania,quali sono i migliori hotel di lusso a Salerno?,hotel 5 stelle salerno,2110
OBS-I-0163a6ca-EN,en,grandi-citta,internal,hotel,lusso,Catania,Sicilia,what are the best luxury hotels in Catania?,luxury hotels in catania,5010
OBS-I-020d3ce9-IT,it,grandi-citta,internal,hotel,,Palermo,Sicilia,quali sono i migliori hotel a Palermo?,hotel palermo,92800
OBS-I-02ef50e0-IT,it,grandi-citta,internal,hotel,economici,Verona,Veneto,quali sono i migliori hotel economici a Verona?,hotel economici verona,9270
OBS-I-03f0a0dd-EN,en,grandi-citta,internal,organizzazione,,Ferrara,Emilia-Romagna,what to see in Ferrara?,things to do in ferrara,6830
OBS-I-03fe3a6f-EN,en,grandi-citta,internal,hotel,,Siracusa,Sicilia,what are the best hotels in Siracusa?,hotels in siracusa,6300
OBS-I-048b886b-EN,en,grandi-citta,internal,hotel,,Marsala,Sicilia,what are the best hotels in Marsala?,hotels in marsala,22400
OBS-I-0525af06-EN,en,grandi-citta,internal,organizzazione,,Pisa,Toscana,what to see in Pisa?,what to do in pisa,60200
OBS-I-062e1038-EN,en,grandi-citta,internal,hotel,,Livorno,Toscana,what are the best hotels in Livorno?,hotels in livorno,9110
OBS-I-06f64a97-IT,it,grandi-citta,internal,hotel,economici,Roma,Lazio,quali sono i migliori hotel economici a Roma?,hotel economici roma,50300
OBS-I-073fbb01-EN,en,grandi-citta,internal,organizzazione,,Treviso,Veneto,what to see in Treviso?,things to do in treviso,14280
OBS-I-0766f44e-IT,it,grandi-citta,internal,organizzazione,,Verona,Veneto,cosa vedere a Verona?,cosa vedere a verona,121100
OBS-I-07a3174f-IT,it,grandi-citta,internal,organizzazione,,Biella,Piemonte,cosa vedere a Biella?,cosa vedere biella,10280
OBS-I-07d8438a-IT,it,grandi-citta,internal,hotel,economici,Asti,Piemonte,quali sono i migliori hotel economici ad Asti?,hotel economici asti,1560
OBS-I-08ab6c61-EN,en,grandi-citta,internal,organizzazione,,Ravenna,Emilia-Romagna,what to see in Ravenna?,things to do in ravenna,21400
OBS-I-095302c2-IT,it,grandi-citta,internal,hotel,,Bologna,Emilia-Romagna,quali sono i migliori hotel a Bologna?,hotel bologna,349300
OBS-I-0968b9be-IT,it,grandi-citta,internal,hotel,,Marsala,Sicilia,quali sono i migliori hotel a Marsala?,hotel marsala,16140
OBS-I-0df03cac-IT,it,grandi-citta,internal,organizzazione,,Sondrio,Lombardia,cosa vedere a Sondrio?,cosa vedere sondrio,9620
OBS-I-0df4cb85-IT,it,grandi-citta,internal,hotel,,Napoli,Campania,quali sono i migliori hotel a Napoli?,hotel napoli,239000
OBS-I-0e86011a-IT,it,grandi-citta,internal,hotel,economici,Mantova,Lombardia,quali sono i migliori hotel economici a Mantova?,hotel economici mantova,1010
OBS-I-0f794379-IT,it,grandi-citta,internal,organizzazione,,Vercelli,Piemonte,cosa vedere a Vercelli?,cosa vedere vercelli,10470
OBS-I-0fc7075c-EN,en,grandi-citta,internal,organizzazione,,Modena,Emilia-Romagna,what to see in Modena?,what to do in modena,15960
OBS-I-0fcd8a5b-IT,it,grandi-citta,internal,hotel,lusso,Firenze,Toscana,quali sono i migliori hotel di lusso a Firenze?,hotel 5 stelle firenze,15410
OBS-I-1012bc64-IT,it,grandi-citta,internal,hotel,coppie,Milano,Lombardia,quali sono i migliori hotel romantici per coppie a Milano?,hotel romantici milano,1550
OBS-I-1125a279-EN,en,grandi-citta,internal,organizzazione,,Viterbo,Lazio,what to see in Viterbo?,things to do in viterbo,3280
OBS-I-115aa1e2-EN,en,grandi-citta,internal,hotel,,Genova,Liguria,what are the best hotels in Genova?,hotels in genova,92100
OBS-I-120bd0bb-IT,it,grandi-citta,internal,hotel,economici,Lecce,Puglia,quali sono i migliori hotel economici a Lecce?,hotel economici lecce,2330
OBS-I-12532c27-IT,it,grandi-citta,internal,organizzazione,,Caserta,Campania,cosa vedere a Caserta?,cosa vedere a caserta,17100
OBS-I-12d36217-EN,en,grandi-citta,internal,hotel,,Torino,Piemonte,what are the best hotels in Torino?,hotels in torino,148900
OBS-I-13b38ab6-IT,it,grandi-citta,internal,hotel,coppie,Venezia,Veneto,quali sono i migliori hotel romantici per coppie a Venezia?,hotel romantici venezia,1320
OBS-I-14011492-EN,en,grandi-citta,internal,organizzazione,,Varese,Lombardia,what to see in Varese?,things to do in varese,2910
OBS-I-144d1168-IT,it,grandi-citta,internal,organizzazione,,Agrigento,Sicilia,cosa vedere ad Agrigento?,cosa vedere ad agrigento,18500
OBS-I-1560870f-IT,it,grandi-citta,internal,hotel,,Siracusa,Sicilia,quali sono i migliori hotel a Siracusa?,hotel siracusa,112000
OBS-I-17479358-EN,en,grandi-citta,internal,organizzazione,,Cremona,Lombardia,what to see in Cremona?,things to do in cremona,2880
OBS-I-1774fed7-EN,en,grandi-citta,internal,hotel,,Lollove; Nuoro ,Sardegna,what are the best hotels in Nuoro?,nuoro hotels,10910
OBS-I-17909163-IT,it,grandi-citta,internal,hotel,,Varese,Lombardia,quali sono i migliori hotel a Varese?,hotel varese,22500
OBS-I-18684e00-IT,it,grandi-citta,internal,hotel,,Salerno,Campania,quali sono i migliori hotel a Salerno?,hotel salerno,76500
OBS-I-18ad085c-EN,en,grandi-citta,internal,organizzazione,,Taranto,Puglia,what to see in Taranto?,things to do in taranto,5280
OBS-I-1c946f09-IT,it,grandi-citta,internal,hotel,economici,Alessandria,Piemonte,quali sono i migliori hotel economici ad Alessandria?,hotel economici alessandria,1450
OBS-I-1c9892f1-IT,it,grandi-citta,internal,organizzazione,,Brescia,Lombardia,cosa vedere a Brescia?,cosa vedere a brescia,40000
OBS-I-1cc49efd-IT,it,grandi-citta,internal,hotel,lusso,Napoli,Campania,quali sono i migliori hotel di lusso a Napoli?,hotel 5 stelle napoli,14200
OBS-I-1d84d495-EN,en,grandi-citta,internal,hotel,lusso,Milano,Lombardia,what are the best luxury hotels in Milano?,luxury hotels in milano,81500
OBS-I-1db6a3aa-EN,en,grandi-citta,internal,hotel,,Verona,Veneto,what are the best hotels in Verona?,hotels in verona,396800
OBS-I-1f833c9d-IT,it,grandi-citta,internal,hotel,economici,Pisa,Toscana,quali sono i migliori hotel economici a Pisa?,hotel economici pisa,4500
OBS-I-206023c6-EN,en,grandi-citta,internal,organizzazione,,Mantova,Lombardia,what to see in Mantova?,things to do in mantova,4300
OBS-I-20974e06-EN,en,grandi-citta,internal,organizzazione,,Lucca,Toscana,what to see in Lucca?,things to do in lucca,57100
OBS-I-2165ce43-IT,it,grandi-citta,internal,hotel,lusso,Siena,Toscana,quali sono i migliori hotel di lusso a Siena?,hotel 5 stelle siena,2230
OBS-I-228c9279-IT,it,grandi-citta,internal,hotel,,Ferrara,Emilia-Romagna,quali sono i migliori hotel a Ferrara?,hotel ferrara,101500
OBS-I-24736b74-EN,en,grandi-citta,internal,organizzazione,,Lecco,Lombardia,what to see in Lecco?,what to do in lecco,6070
OBS-I-24a530ef-EN,en,grandi-citta,internal,hotel,economici,Catania,Sicilia,what are the best budget hotels in Catania?,cheap hotels in catania,1510
OBS-I-26c952dd-EN,en,grandi-citta,internal,organizzazione,,Firenze,Toscana,what to see in Firenze?,things to do in firenze,495200
OBS-I-28a201de-EN,en,grandi-citta,internal,organizzazione,,Genova,Liguria,what to see in Genova?,things to do in genova,86100
OBS-I-28a2751c-IT,it,grandi-citta,internal,organizzazione,,Palermo,Sicilia,cosa vedere a Palermo?,cosa vedere a palermo,134900
OBS-I-28c189b5-EN,en,grandi-citta,internal,organizzazione,,Siena,Toscana,what to see in Siena?,things to do in siena,52700
OBS-I-29207d82-EN,en,grandi-citta,internal,hotel,lusso,Napoli,Campania,what are the best luxury hotels in Napoli?,luxury hotels in napoli,11710
OBS-I-297863b1-IT,it,grandi-citta,internal,hotel,economici,Monza,Lombardia,quali sono i migliori hotel economici a Monza?,hotel economici monza,1610
OBS-I-2ae4b3b3-EN,en,grandi-citta,internal,organizzazione,,Milano,Lombardia,what to see in Milano?,things to do in milano,609000
OBS-I-2b0c2571-IT,it,grandi-citta,internal,hotel,economici,Napoli,Campania,quali sono i migliori hotel economici a Napoli?,hotel economici napoli,15480
OBS-I-2c0ec040-EN,en,grandi-citta,internal,hotel,lusso,Genova,Liguria,what are the best luxury hotels in Genova?,luxury hotels in genova,2290
OBS-I-2c29ab42-IT,it,grandi-citta,internal,hotel,economici,Padova,Veneto,quali sono i migliori hotel economici a Padova?,hotel economici padova,5370
OBS-I-2cf938b1-IT,it,grandi-citta,internal,hotel,,Imperia,Liguria,quali sono i migliori hotel a Imperia?,hotel imperia,57800
OBS-I-2d0b9b77-IT,it,grandi-citta,internal,organizzazione,,Torino,Piemonte,cosa vedere a Torino?,cosa vedere a torino,189100
OBS-I-2ddaed4e-EN,en,grandi-citta,internal,organizzazione,,Imperia,Liguria,what to see in Imperia?,things to do in imperia,1090
OBS-I-2ee0ee3e-IT,it,grandi-citta,internal,hotel,economici,La Spezia,Liguria,quali sono i migliori hotel economici alla Spezia?,hotel economici la spezia,3370
OBS-I-2f52b85c-IT,it,grandi-citta,internal,hotel,,Arezzo,Toscana,quali sono i migliori hotel ad Arezzo?,hotel arezzo,66400
OBS-I-2f60b72a-IT,it,grandi-citta,internal,hotel,famiglie,Firenze,Toscana,quali sono i migliori hotel per famiglie a Firenze?,family hotel firenze,1130
OBS-I-2f9f727e-EN,en,grandi-citta,internal,hotel,,Pisa,Toscana,what are the best hotels in Pisa?,hotels in pisa,69200
OBS-I-2fb9f7ec-EN,en,grandi-citta,internal,hotel,lusso,Bergamo,Lombardia,what are the best luxury hotels in Bergamo?,luxury hotels in bergamo,1730
OBS-I-308f8d8c-IT,it,grandi-citta,internal,hotel,lusso,Palermo,Sicilia,quali sono i migliori hotel di lusso a Palermo?,hotel 5 stelle palermo,6370
OBS-I-3091f5da-EN,en,grandi-citta,internal,hotel,,Monza,Lombardia,what are the best hotels in Monza?,hotels in monza,108400
OBS-I-3093aa43-IT,it,grandi-citta,internal,hotel,famiglie,Genova,Liguria,quali sono i migliori hotel per famiglie a Genova?,family hotel genova,1090
OBS-I-30d7c1fd-EN,en,grandi-citta,internal,hotel,lusso,Cagliari,Sardegna,what are the best luxury hotels in Cagliari?,luxury hotels in cagliari,1820
OBS-I-30dfee45-IT,it,grandi-citta,internal,hotel,lusso,Siracusa,Sicilia,quali sono i migliori hotel di lusso a Siracusa?,hotel 5 stelle siracusa,3210
OBS-I-3180e4d4-EN,en,grandi-citta,internal,organizzazione,,Bergamo,Lombardia,what to see in Bergamo?,things to do in bergamo,59400
OBS-I-31a728e6-IT,it,grandi-citta,internal,organizzazione,,Belluno,Veneto,cosa vedere a Belluno?,cosa vedere belluno,12040
OBS-I-32878126-IT,it,grandi-citta,internal,hotel,,Parma,Emilia-Romagna,quali sono i migliori hotel a Parma?,hotel parma,97900
OBS-I-32efa099-IT,it,grandi-citta,internal,organizzazione,,Trani,Puglia,cosa vedere a Trani?,cosa vedere a trani,14180
OBS-I-33bd291e-IT,it,grandi-citta,internal,hotel,,Treviso,Veneto,quali sono i migliori hotel a Treviso?,hotel treviso,40700
OBS-I-34613b9f-EN,en,grandi-citta,internal,hotel,,Lecce,Puglia,what are the best hotels in Lecce?,hotels in lecce,25000
OBS-I-356e5b7e-IT,it,grandi-citta,internal,organizzazione,,Ferrara,Emilia-Romagna,cosa vedere a Ferrara?,cosa vedere ferrara,70000
OBS-I-35e9d7e2-IT,it,grandi-citta,internal,hotel,lusso,Perugia,Umbria,quali sono i migliori hotel di lusso a Perugia?,hotel 5 stelle perugia,2790
OBS-I-3611c603-IT,it,grandi-citta,internal,hotel,lusso,Livorno,Toscana,quali sono i migliori hotel di lusso a Livorno?,hotel 5 stelle livorno,2100
OBS-I-365bba26-EN,en,grandi-citta,internal,organizzazione,,Lecce,Puglia,what to see in Lecce?,things to do in lecce,29700
OBS-I-36fb6f1b-EN,en,grandi-citta,internal,hotel,,Alessandria,Piemonte,what are the best hotels in Alessandria?,alessandria hotels,30700
OBS-I-373fd8db-EN,en,grandi-citta,internal,hotel,,Treviso,Veneto,what are the best hotels in Treviso?,hotels in treviso,14460
OBS-I-378dba75-IT,it,grandi-citta,internal,organizzazione,,Vicenza,Veneto,cosa vedere a Vicenza?,cosa vedere a vicenza,36000
OBS-I-3827d20a-IT,it,grandi-citta,internal,hotel,lusso,Ravenna,Emilia-Romagna,quali sono i migliori hotel di lusso a Ravenna?,hotel 5 stelle ravenna,1240
OBS-I-384895ac-EN,en,grandi-citta,internal,organizzazione,,Marsala,Sicilia,what to see in Marsala?,things to do in marsala,3930
OBS-I-38bbba22-IT,it,grandi-citta,internal,hotel,economici,Novara,Piemonte,quali sono i migliori hotel economici a Novara?,hotel economici novara,1300
OBS-I-38ce49fe-IT,it,grandi-citta,internal,hotel,,Ragusa,Sicilia,quali sono i migliori hotel a Ragusa?,hotel ragusa,13800
OBS-I-38e27ff7-EN,en,grandi-citta,internal,hotel,economici,Firenze,Toscana,what are the best budget hotels in Firenze?,cheap hotels in firenze,19600
OBS-I-391dc53b-IT,it,grandi-citta,internal,organizzazione,,Bari,Puglia,cosa vedere a Bari?,cosa vedere a bari,58200
OBS-I-3b2ed137-EN,en,grandi-citta,internal,hotel,,Grosseto,Toscana,what are the best hotels in Grosseto?,hotels in grosseto,1190
OBS-I-3c4205f6-IT,it,grandi-citta,internal,hotel,lusso,Trieste,Friuli-Venezia Giulia,quali sono i migliori hotel di lusso a Trieste?,hotel 5 stelle trieste,3120
OBS-I-3c48ffce-IT,it,grandi-citta,internal,organizzazione,,Perugia,Umbria,cosa vedere a Perugia?,cosa vedere a perugia,76900
OBS-I-3cd9b51b-EN,en,grandi-citta,internal,hotel,,Caserta,Campania,what are the best hotels in Caserta?,caserta hotels,1530
OBS-I-3edfcde0-IT,it,grandi-citta,internal,hotel,coppie,Torino,Piemonte,quali sono i migliori hotel romantici per coppie a Torino?,hotel romantici torino,1410
OBS-I-3f3d3133-IT,it,grandi-citta,internal,hotel,,Benevento,Campania,quali sono i migliori hotel a Benevento?,hotel benevento,15900
OBS-I-3f64f192-IT,it,grandi-citta,internal,organizzazione,,Siracusa,Sicilia,cosa vedere a Siracusa?,cosa vedere a siracusa,44400
OBS-I-3f94f467-IT,it,grandi-citta,internal,hotel,lusso,Milano,Lombardia,quali sono i migliori hotel di lusso a Milano?,hotel 5 stelle milano,27200
OBS-I-3fa12082-EN,en,grandi-citta,internal,hotel,,Bologna,Emilia-Romagna,what are the best hotels in Bologna?,bologna hotels,112600
OBS-I-4014d9c9-EN,en,grandi-citta,internal,hotel,,Lucca,Toscana,what are the best hotels in Lucca?,hotels in lucca,34000
OBS-I-404739e4-EN,en,grandi-citta,internal,hotel,,Varese,Lombardia,what are the best hotels in Varese?,varese hotels,13260
OBS-I-40a684fb-IT,it,grandi-citta,internal,hotel,,Pavia,Lombardia,quali sono i migliori hotel a Pavia?,hotel pavia,25500
OBS-I-42e3a0c3-IT,it,grandi-citta,internal,hotel,,Caserta,Campania,quali sono i migliori hotel a Caserta?,hotel caserta,44000
OBS-I-43262960-IT,it,grandi-citta,internal,hotel,,Grosseto,Toscana,quali sono i migliori hotel a Grosseto?,hotel grosseto,29000
OBS-I-43a3a05b-IT,it,grandi-citta,internal,hotel,,Alessandria,Piemonte,quali sono i migliori hotel ad Alessandria?,hotel alessandria,22300
OBS-I-4589c9b1-EN,en,grandi-citta,internal,hotel,,Cagliari,Sardegna,what are the best hotels in Cagliari?,hotels in cagliari,56100
OBS-I-46c889fb-IT,it,grandi-citta,internal,hotel,economici,Bergamo,Lombardia,quali sono i migliori hotel economici a Bergamo?,hotel economici bergamo,3090
OBS-I-46d4fb37-IT,it,grandi-citta,internal,hotel,,Siena,Toscana,quali sono i migliori hotel a Siena?,hotel siena,70000
OBS-I-47952ca8-IT,it,grandi-citta,internal,hotel,,Cremona,Lombardia,quali sono i migliori hotel a Cremona?,hotel cremona,27700
OBS-I-47a1aeb1-EN,en,grandi-citta,internal,hotel,,Taranto,Puglia,what are the best hotels in Taranto?,hotels in taranto,30500
OBS-I-486897a4-IT,it,grandi-citta,internal,hotel,lusso,Modena,Emilia-Romagna,quali sono i migliori hotel di lusso a Modena?,hotel 5 stelle modena,2350
OBS-I-48c457d7-IT,it,grandi-citta,internal,hotel,,Venezia,Veneto,quali sono i migliori hotel a Venezia?,hotel venezia,272900
OBS-I-491685fa-EN,en,grandi-citta,internal,hotel,economici,Bari,Puglia,what are the best budget hotels in Bari?,cheap hotels in bari,2510
OBS-I-4968e19f-IT,it,grandi-citta,internal,organizzazione,,Marsala,Sicilia,cosa vedere a Marsala?,cosa vedere a marsala,26020
OBS-I-49dc4f5d-IT,it,grandi-citta,internal,hotel,economici,Ravenna,Emilia-Romagna,quali sono i migliori hotel economici a Ravenna?,hotel economici ravenna,5450
OBS-I-4a1f1db7-IT,it,grandi-citta,internal,hotel,economici,Piacenza,Emilia-Romagna,quali sono i migliori hotel economici a Piacenza?,hotel economici piacenza,1730
OBS-I-4ab7c574-IT,it,grandi-citta,internal,hotel,famiglie,Milano,Lombardia,quali sono i migliori hotel per famiglie a Milano?,family hotel milano,1220
OBS-I-4ad88d7f-EN,en,grandi-citta,internal,hotel,lusso,Bologna,Emilia-Romagna,what are the best luxury hotels in Bologna?,luxury hotels in bologna,10950
OBS-I-4b322f0e-IT,it,grandi-citta,internal,hotel,,Trapani,Sicilia,quali sono i migliori hotel a Trapani?,hotel trapani,27900
OBS-I-4b4c9fbd-IT,it,grandi-citta,internal,hotel,,La Spezia,Liguria,quali sono i migliori hotel alla Spezia?,hotel la spezia,53300
OBS-I-4b74b790-IT,it,grandi-citta,internal,hotel,famiglie,Ravenna,Emilia-Romagna,quali sono i migliori hotel per famiglie a Ravenna?,family hotel ravenna,1310
OBS-I-4c14e489-EN,en,grandi-citta,internal,hotel,,Firenze,Toscana,what are the best hotels in Firenze?,best hotels in firenze,107600
OBS-I-4d41c6ed-EN,en,grandi-citta,internal,hotel,,Benevento,Campania,what are the best hotels in Benevento?,hotels in benevento,1490
OBS-I-4d91071c-EN,en,grandi-citta,internal,hotel,,Trieste,Friuli-Venezia Giulia,what are the best hotels in Trieste?,hotels in trieste,131100
OBS-I-4dc793f4-IT,it,grandi-citta,internal,organizzazione,,Pisa,Toscana,cosa vedere a Pisa?,cosa vedere a pisa,62600
OBS-I-4de77e15-IT,it,grandi-citta,internal,hotel,economici,Arezzo,Toscana,quali sono i migliori hotel economici ad Arezzo?,hotel economici arezzo,3330
OBS-I-4e65deaa-IT,it,grandi-citta,internal,hotel,economici,Parma,Emilia-Romagna,quali sono i migliori hotel economici a Parma?,hotel economici parma,4690
OBS-I-4e702bd6-EN,en,grandi-citta,internal,hotel,economici,Palermo,Sicilia,what are the best budget hotels in Palermo?,cheap hotels in palermo,2640
OBS-I-4e962902-IT,it,grandi-citta,internal,organizzazione,,Novara,Piemonte,cosa vedere a Novara?,cosa vedere a novara,14660
OBS-I-4eb612db-IT,it,grandi-citta,internal,hotel,,Ravenna,Emilia-Romagna,quali sono i migliori hotel a Ravenna?,hotel ravenna,77400
OBS-I-4f06326b-IT,it,grandi-citta,internal,hotel,economici,Bari,Puglia,quali sono i migliori hotel economici a Bari?,hotel economici bari,2510
OBS-I-4fa30b0c-IT,it,grandi-citta,internal,hotel,economici,Livorno,Toscana,quali sono i migliori hotel economici a Livorno?,hotel economici livorno,5600
OBS-I-4fb4cb12-IT,it,grandi-citta,internal,organizzazione,,Lecco,Lombardia,cosa vedere a Lecco?,cosa vedere a lecco,16680
OBS-I-506eb68c-IT,it,grandi-citta,internal,organizzazione,,Catania,Sicilia,cosa vedere a Catania?,cosa vedere a catania,82200
OBS-I-52773c44-IT,it,grandi-citta,internal,organizzazione,,Rovigo,Veneto,cosa vedere a Rovigo?,cosa vedere a rovigo,10170
OBS-I-53242912-IT,it,grandi-citta,internal,hotel,,Roma,Lazio,quali sono i migliori hotel a Roma?,hotel roma,698000
OBS-I-53525305-IT,it,grandi-citta,internal,organizzazione,,Trapani,Sicilia,cosa vedere a Trapani?,cosa vedere a trapani,39900
OBS-I-53a3845e-IT,it,grandi-citta,internal,hotel,lusso,Lucca,Toscana,quali sono i migliori hotel di lusso a Lucca?,hotel 5 stelle lucca,1670
OBS-I-54dc4087-IT,it,grandi-citta,internal,hotel,economici,Varese,Lombardia,quali sono i migliori hotel economici a Varese?,hotel economici varese,2020
OBS-I-56393a76-IT,it,grandi-citta,internal,hotel,economici,Genova,Liguria,quali sono i migliori hotel economici a Genova?,hotel economici genova,7050
OBS-I-57ac7514-IT,it,grandi-citta,internal,hotel,,Trieste,Friuli-Venezia Giulia,quali sono i migliori hotel a Trieste?,hotel trieste,153800
OBS-I-582d12e9-IT,it,grandi-citta,internal,hotel,,Firenze,Toscana,quali sono i migliori hotel a Firenze?,hotel firenze,439200
OBS-I-5838a5d6-IT,it,grandi-citta,internal,hotel,,Bari,Puglia,quali sono i migliori hotel a Bari?,hotel bari,94100
OBS-I-59af7088-EN,en,grandi-citta,internal,hotel,,Brescia,Lombardia,what are the best hotels in Brescia?,hotels in brescia,26300
OBS-I-5a437de1-IT,it,grandi-citta,internal,hotel,economici,Lucca,Toscana,quali sono i migliori hotel economici a Lucca?,hotel economici lucca,3100
OBS-I-5a5ccbbf-EN,en,grandi-citta,internal,hotel,lusso,Parma,Emilia-Romagna,what are the best luxury hotels in Parma?,parma luxury hotels,1350
OBS-I-5a5d24df-EN,en,grandi-citta,internal,organizzazione,,Parma,Emilia-Romagna,what to see in Parma?,what to do in parma,20380
OBS-I-5ad206e8-IT,it,grandi-citta,internal,organizzazione,,Bergamo,Lombardia,cosa vedere a Bergamo?,cosa vedere a bergamo,44700
OBS-I-5b0a5f96-IT,it,grandi-citta,internal,hotel,economici,Taranto,Puglia,quali sono i migliori hotel economici a Taranto?,hotel economici taranto,1100
OBS-I-5d097e32-EN,en,grandi-citta,internal,organizzazione,,Benevento,Campania,what to see in Benevento?,things to do in benevento,1300
OBS-I-5e4da4dd-IT,it,grandi-citta,internal,hotel,,Viterbo,Lazio,quali sono i migliori hotel a Viterbo?,hotel viterbo,30300
OBS-I-5ef7de1a-IT,it,grandi-citta,internal,hotel,economici,Torino,Piemonte,quali sono i migliori hotel economici a Torino?,hotel economici torino,13790
OBS-I-5f5268c5-IT,it,grandi-citta,internal,hotel,lusso,Brescia,Lombardia,quali sono i migliori hotel di lusso a Brescia?,hotel 5 stelle brescia,2140
OBS-I-5f68d08e-IT,it,grandi-citta,internal,organizzazione,,Treviso,Veneto,cosa vedere a Treviso?,cosa vedere a treviso,44800
OBS-I-604daf67-IT,it,grandi-citta,internal,hotel,,Lecco,Lombardia,quali sono i migliori hotel a Lecco?,hotel lecco,26000
OBS-I-60dd5c56-EN,en,grandi-citta,internal,hotel,economici,Napoli,Campania,what are the best budget hotels in Napoli?,cheap hotels in napoli,4890
OBS-I-61c1d70e-EN,en,grandi-citta,internal,organizzazione,,Roma,Lazio,what to see in Roma?,things to do in roma,6830
OBS-I-628acf4d-IT,it,grandi-citta,internal,hotel,economici,Cremona,Lombardia,quali sono i migliori hotel economici a Cremona?,hotel economici cremona,1370
